   x    v    u    error 
     0.05249      0.35592      0.35592     -7.07401 
     0.05259      0.35641      0.35641     -7.07400 
     0.05269      0.35690      0.35690     -7.07400 
     0.05279      0.35739      0.35739     -7.07400 
     0.05289      0.35788      0.35788     -7.07399 
     0.05299      0.35837      0.35837     -7.07399 
     0.05309      0.35886      0.35886     -7.07399 
     0.05319      0.35935      0.35935     -7.07399 
     0.05329      0.35983      0.35983     -7.07398 
     0.05339      0.36032      0.36032     -7.07398 
     0.05349      0.36081      0.36081     -7.07398 
     0.05359      0.36129      0.36129     -7.07398 
     0.05369      0.36178      0.36178     -7.07397 
     0.05379      0.36226      0.36226     -7.07397 
     0.05389      0.36275      0.36275     -7.07397 
     0.05399      0.36323      0.36323     -7.07396 
     0.05409      0.36371      0.36371     -7.07396 
     0.05419      0.36419      0.36419     -7.07396 
     0.05429      0.36467      0.36467     -7.07396 
     0.05439      0.36515      0.36515     -7.07395 
     0.05449      0.36563      0.36563     -7.07395 
     0.05459      0.36611      0.36611     -7.07395 
     0.05469      0.36659      0.36659     -7.07395 
     0.05479      0.36707      0.36707     -7.07394 
     0.05489      0.36755      0.36755     -7.07394 
     0.05499      0.36803      0.36803     -7.07394 
     0.05509      0.36850      0.36850     -7.07393 
     0.05519      0.36898      0.36898     -7.07393 
     0.05529      0.36945      0.36945     -7.07393 
     0.05539      0.36993      0.36993     -7.07393 
     0.05549      0.37040      0.37040     -7.07392 
     0.05559      0.37088      0.37088     -7.07392 
     0.05569      0.37135      0.37135     -7.07392 
     0.05579      0.37182      0.37182     -7.07391 
     0.05589      0.37230      0.37230     -7.07391 
     0.05599      0.37277      0.37277     -7.07391 
     0.05609      0.37324      0.37324     -7.07391 
     0.05619      0.37371      0.37371     -7.07390 
     0.05629      0.37418      0.37418     -7.07390 
     0.05639      0.37465      0.37465     -7.07390 
     0.05649      0.37512      0.37512     -7.07390 
     0.05659      0.37558      0.37558     -7.07389 
     0.05669      0.37605      0.37605     -7.07389 
     0.05679      0.37652      0.37652     -7.07389 
     0.05689      0.37698      0.37698     -7.07388 
     0.05699      0.37745      0.37745     -7.07388 
     0.05709      0.37792      0.37792     -7.07388 
     0.05719      0.37838      0.37838     -7.07388 
     0.05729      0.37884      0.37884     -7.07387 
     0.05739      0.37931      0.37931     -7.07387 
     0.05749      0.37977      0.37977     -7.07387 
     0.05759      0.38023      0.38023     -7.07386 
     0.05769      0.38070      0.38070     -7.07386 
     0.05779      0.38116      0.38116     -7.07386 
     0.05789      0.38162      0.38162     -7.07386 
     0.05799      0.38208      0.38208     -7.07385 
     0.05809      0.38254      0.38254     -7.07385 
     0.05819      0.38300      0.38300     -7.07385 
     0.05829      0.38345      0.38345     -7.07385 
     0.05839      0.38391      0.38391     -7.07384 
     0.05849      0.38437      0.38437     -7.07384 
     0.05859      0.38483      0.38483     -7.07384 
     0.05869      0.38528      0.38528     -7.07383 
     0.05879      0.38574      0.38574     -7.07383 
     0.05889      0.38619      0.38619     -7.07383 
     0.05899      0.38665      0.38665     -7.07383 
     0.05909      0.38710      0.38710     -7.07382 
     0.05919      0.38756      0.38756     -7.07382 
     0.05929      0.38801      0.38801     -7.07382 
     0.05939      0.38846      0.38846     -7.07381 
     0.05949      0.38891      0.38891     -7.07381 
     0.05959      0.38936      0.38936     -7.07381 
     0.05969      0.38982      0.38982     -7.07381 
     0.05979      0.39027      0.39027     -7.07380 
     0.05989      0.39072      0.39072     -7.07380 
     0.05999      0.39116      0.39116     -7.07380 
     0.06009      0.39161      0.39161     -7.07379 
     0.06019      0.39206      0.39206     -7.07379 
     0.06029      0.39251      0.39251     -7.07379 
     0.06039      0.39295      0.39295     -7.07379 
     0.06049      0.39340      0.39340     -7.07378 
